start	end	corpus	sent_id	left	node	right	node_sentences
66	77	ind_newscrawl_2016_1M	531498	Menurutnya, apabila tes fisik itu digelar di Tondano sudah pasti	banyak waktu	yang terbuang, karena para atlet harus bolak-balik Manado-Tondano.	Menurutnya, apabila tes fisik itu digelar di Tondano sudah pasti <m>banyak waktu</m> yang terbuang, karena para atlet harus bolak-balik Manado-Tondano.
103	115	ind_newscrawl_2016_1M	536866	Menurutnya, untuk mendata dan mengetahui keberadaan dive-guade yang tak memiliki ijin menyelam, butuh	waktu panjang	, mengingat banyak perusahan yang mungkin ti-dak akan mengakui bila pe-kerjanya tidak memiliki ijin me-nyelam yang dimiliki mereka.	Menurutnya, untuk mendata dan mengetahui keberadaan dive-guade yang tak memiliki ijin menyelam, butuh <m>waktu panjang</m>, mengingat banyak perusahan yang mungkin ti-dak akan mengakui bila pe-kerjanya tidak memiliki ijin me-nyelam yang dimiliki mereka.
56	67	ind_newscrawl_2016_1M	537630	Menurut penelitian terbaru, banyak buku justru berarti	banyak waktu	karena bisa memperpanjang usia.	Menurut penelitian terbaru, banyak buku justru berarti <m>banyak waktu</m> karena bisa memperpanjang usia.
29	41	ind_newscrawl_2016_1M	540444	Menurut sumber, masih butuh	waktu panjang	untuk dikenal luas masyara-kat Minahasa.	Menurut sumber, masih butuh <m>waktu panjang</m> untuk dikenal luas masyara-kat Minahasa.
70	81	ind_newscrawl_2016_1M	543067	Merah Putih harus juara dan memenangkan persaingan, kita tidak punya	banyak waktu	, tinggal 7 hari lagi menuju deadline.	Merah Putih harus juara dan memenangkan persaingan, kita tidak punya <m>banyak waktu</m>, tinggal 7 hari lagi menuju deadline.
23	34	ind_newscrawl_2016_1M	548405	Mereka malah memiliki	waktu banyak	untuk main,” ujar Kepala Sekolah SMA Bopkri 1 Kota Jogja Andar Rujito kemarin (9/9).	Mereka malah memiliki <m>waktu banyak</m> untuk main,” ujar Kepala Sekolah SMA Bopkri 1 Kota Jogja Andar Rujito kemarin (9/9).
20	31	ind_newscrawl_2016_1M	549943	Mereka mengatakan,	banyak waktu	yang dihabiskan untuk membuat laporan atau SPJ.	Mereka mengatakan, <m>banyak waktu</m> yang dihabiskan untuk membuat laporan atau SPJ.
22	33	ind_newscrawl_2016_1M	550142	“Mereka menghabiskan	banyak waktu	dengan Tuhan.	“Mereka menghabiskan <m>banyak waktu</m> dengan Tuhan.
76	87	ind_newscrawl_2016_1M	564765	Misalnya di daerah mana saja yang orang tuanya sibuk, sehingga tidak punya	banyak waktu	di rumah.	Misalnya di daerah mana saja yang orang tuanya sibuk, sehingga tidak punya <m>banyak waktu</m> di rumah.
64	75	ind_newscrawl_2016_1M	565409	Misalnya para perempuan aktif dan ibu muda yang tidak memiliki	banyak waktu	untuk mempersiapkan makanan.	Misalnya para perempuan aktif dan ibu muda yang tidak memiliki <m>banyak waktu</m> untuk mempersiapkan makanan.
64	76	ind_newscrawl_2016_1M	573288	“Mung-kin saja jabatan Vreeke Runtu akan bertahan untuk jangka	waktu panjang	, dan mungkin saja wacana Kota Lango-wan masih merupakan khayalan yang agaknya membutuhkan penan-tian panjang,” ketus Donny Lewan.	“Mung-kin saja jabatan Vreeke Runtu akan bertahan untuk jangka <m>waktu panjang</m>, dan mungkin saja wacana Kota Lango-wan masih merupakan khayalan yang agaknya membutuhkan penan-tian panjang,” ketus Donny Lewan.
44	55	ind_newscrawl_2016_1M	585737	Namun, ia mengatakan, dewan tidak memiliki	banyak waktu	untuk kemudian mengesahkan draf tersebut sebagai peraturan daerah (perda).	Namun, ia mengatakan, dewan tidak memiliki <m>banyak waktu</m> untuk kemudian mengesahkan draf tersebut sebagai peraturan daerah (perda).
101	112	ind_newscrawl_2016_1M	598729	Namun tingkat stres dan ketidakmampuan untuk berkonsentrasi memburuk jika mereka menghabiskan lebih	banyak waktu	di dalam mobil.	Namun tingkat stres dan ketidakmampuan untuk berkonsentrasi memburuk jika mereka menghabiskan lebih <m>banyak waktu</m> di dalam mobil.
