ngram	w1	w2	w3
datang_bersama_orang	datang	bersama	orang
itu_dan_datang	itu	dan	datang
dan_datang_ke	dan	datang	ke
datang_ke_Hangzhou	datang	ke	Hangzhou
saya_saat_datang	saya	saat	datang
saat_datang_ke	saat	datang	ke
datang_ke_Polres	datang	ke	Polres
Alasan_Jessica_datang	Alasan	Jessica	datang
Jessica_datang_lebih	Jessica	datang	lebih
datang_lebih_dahulu	datang	lebih	dahulu
Alasan_mereka_datang	Alasan	mereka	datang
mereka_datang_ke	mereka	datang	ke
datang_ke_Labuan	datang	ke	Labuan
dirinya_dipaksa_datang	dirinya	dipaksa	datang
dipaksa_datang_ke	dipaksa	datang	ke
datang_ke_Kantor	datang	ke	Kantor
Alasan_peziarah_datang	Alasan	peziarah	datang
peziarah_datang_ke	peziarah	datang	ke
datang_ke_sana	datang	ke	sana
banyak_yang_datang	banyak	yang	datang
yang_datang_dan	yang	datang	dan
datang_dan_mengeluhkan	datang	dan	mengeluhkan
Doraemon_yang_datang	Doraemon	yang	datang
yang_datang_dari	yang	datang	dari
datang_dari_abad	datang	dari	abad
yang_akan_datang	yang	akan	datang
akan_datang_ujar	akan	datang	ujar
datang_ujar_Fakhrurrozi	datang	ujar	Fakhrurrozi
saya_berkesempatan_datang	saya	berkesempatan	datang
berkesempatan_datang_melihat	berkesempatan	datang	melihat
datang_melihat_kondisi	datang	melihat	kondisi
saya_bisa_datang	saya	bisa	datang
bisa_datang_ke	bisa	datang	ke
datang_ke_Jakarta	datang	ke	Jakarta
keluarga_yang_datang	keluarga	yang	datang
yang_datang_secara	yang	datang	secara
datang_secara_berombongan	datang	secara	berombongan
menit_gol_datang	menit	gol	datang
gol_datang_juga	gol	datang	juga
datang_juga_melalui	datang	juga	melalui
Alih-alih_dia_datang	Alih-alih	dia	datang
dia_datang_ke	dia	datang	ke
datang_ke_RRI	datang	ke	RRI
betul-betul_nyata_datang	betul-betul	nyata	datang
nyata_datang_pada	nyata	datang	pada
datang_pada_dirinya	datang	pada	dirinya
Almarhum_datang_ke	Almarhum	datang	ke
datang_ke_Bandarlampung	datang	ke	Bandarlampung
pertemuan_Jumat_datang	pertemuan	Jumat	datang
Jumat_datang_dalam	Jumat	datang	dalam
datang_dalam_rangka	datang	dalam	rangka
di_masa_datang	di	masa	datang
masa_datang_dewan	masa	datang	dewan
datang_dewan_memberikan	datang	dewan	memberikan
N.N_kembali_datang	N.N	kembali	datang
