ngram	w1	w2	n
zaman_semoga	zaman	semoga	1
zaman_seperti	zaman	seperti	1
zaman_serta	zaman	serta	1
zaman_sosial	zaman	sosial	1
zaman_tahun	zaman	tahun	1
zaman_tantangan	zaman	tantangan	1
zaman_tari	zaman	tari	1
zaman_tarifnya	zaman	tarifnya	1
zaman_teknik-teknik	zaman	teknik-teknik	1
zaman_telah	zaman	telah	1
zaman_terbiasa	zaman	terbiasa	1
zaman_terjadinya	zaman	terjadinya	1
zaman_tertentu	zaman	tertentu	1
zaman_terutama	zaman	terutama	1
zaman_tetap	zaman	tetap	1
zaman_tetapi	zaman	tetapi	1
zaman_tidak	zaman	tidak	1
zaman_turun-temurun	zaman	turun-temurun	1
zaman_tuturnya	zaman	tuturnya	1
zaman_ucapnya	zaman	ucapnya	1
zaman_ujarnya	zaman	ujarnya	1
zaman_ung-kap	zaman	ung-kap	1
zaman_upacara	zaman	upacara	1
zaman_virtual	zaman	virtual	1
ziarah_zaman	ziarah	zaman	1
