ngram	w1	w2	w3	n
depan_banyak_orang	depan	banyak	orang	6
depan_dan_akan	depan	dan	akan	6
depan_hal_ini	depan	hal	ini	6
depan_ia_akan	depan	ia	akan	6
depan_kami_juga	depan	kami	juga	6
depan_ke_belakang	depan	ke	belakang	6
depan_pendukung_sendiri	depan	pendukung	sendiri	6
depan_pintu_rumah	depan	pintu	rumah	6
depan_tidak_terulang	depan	tidak	terulang	6
depan_yang_harus	depan	yang	harus	6
depannya_akan_terus	depannya	akan	terus	6
di_depan_banyak	di	depan	banyak	6
di_depan_gapura	di	depan	gapura	6
di_depan_halaman	di	depan	halaman	6
di_depan_kawasan	di	depan	kawasan	6
di_depan_kotak	di	depan	kotak	6
di_depan_layar	di	depan	layar	6
di_depan_mahasiswa	di	depan	mahasiswa	6
di_depan_pabrik	di	depan	pabrik	6
di_depan_penonton	di	depan	penonton	6
di_depan_sidang	di	depan	sidang	6
di_garis_terdepan	di	garis	terdepan	6
di_posisi_terdepan	di	posisi	terdepan	6
dijadwalkan_pekan_depan	dijadwalkan	pekan	depan	6
ditempatkan_di_depan	ditempatkan	di	depan	6
dua_hari_kedepan	dua	hari	kedepan	6
jika_ke_depan	jika	ke	depan	6
jika_tahun_depan	jika	tahun	depan	6
kamera_depan_8MP	kamera	depan	8MP	6
karena_ke_depan	karena	ke	depan	6
ke_depan_hal	ke	depan	hal	6
ke_depan_hingga	ke	depan	hingga	6
ke_depan_jelasnya	ke	depan	jelasnya	6
ke_depan_kalau	ke	depan	kalau	6
ke_depan_kondisi	ke	depan	kondisi	6
ke_depan_perlu	ke	depan	perlu	6
ke_depan_program	ke	depan	program	6
ke_depan_seluruh	ke	depan	seluruh	6
ke_depan_tambah	ke	depan	tambah	6
ke_depan_tegas	ke	depan	tegas	6
ke_depan_ucapnya	ke	depan	ucapnya	6
ke_depannya_kami	ke	depannya	kami	6
ke_depannya_tidak	ke	depannya	tidak	6
lagi_ke_depannya	lagi	ke	depannya	6
lebih_ke_depan	lebih	ke	depan	6
lurus_ke_depan	lurus	ke	depan	6
masa_depan_atlet	masa	depan	atlet	6
masa_depan_ekonomi	masa	depan	ekonomi	6
masa_depan_tidak	masa	depan	tidak	6
massa_di_depan	massa	di	depan	6
melangkah_ke_depan	melangkah	ke	depan	6
melintang_pekan_depan	melintang	pekan	depan	6
