ngram	w1	w2	w3	n
baheula_bahasa_zaman	baheula	bahasa	zaman	1
bahwa_manusia_zaman	bahwa	manusia	zaman	1
bahwa_persenjataan_zaman	bahwa	persenjataan	zaman	1
bahwa_zaman_telah	bahwa	zaman	telah	1
baik_daripada_zaman	baik	daripada	zaman	1
baik_itu_zaman	baik	itu	zaman	1
bangsa_sepanjang_zaman	bangsa	sepanjang	zaman	1
bangsa_zaman_dulu	bangsa	zaman	dulu	1
bangunan_peninggalan_zaman	bangunan	peninggalan	zaman	1
banyak_fase_zaman	banyak	fase	zaman	1
baru_di_zaman	baru	di	zaman	1
baru_pada_zaman	baru	pada	zaman	1
batik_zaman_dulu	batik	zaman	dulu	1
batu_zaman_keramik	batu	zaman	keramik	1
beberapa_seragam_zaman	beberapa	seragam	zaman	1
beda_dengan_zaman	beda	dengan	zaman	1
beli_dari_zaman	beli	dari	zaman	1
beliau_satu_zaman	beliau	satu	zaman	1
benda-benda_zaman_perang	benda-benda	zaman	perang	1
ber-ada_di_zaman	ber-ada	di	zaman	1
beras_sejak_zaman	beras	sejak	zaman	1
berasal_dari_zaman	berasal	dari	zaman	1
berbagai_zaman_di	berbagai	zaman	di	1
berbeda-beda_khususnya_zaman	berbeda-beda	khususnya	zaman	1
berdesain_mobil-mobil_zaman	berdesain	mobil-mobil	zaman	1
berdiri_di_zaman	berdiri	di	zaman	1
bergesernya_zaman_teknik-teknik	bergesernya	zaman	teknik-teknik	1
beriisi_benda-benda_zaman	beriisi	benda-benda	zaman	1
berjalan_sejak_zaman	berjalan	sejak	zaman	1
berjalannya_zaman_keluarga-keluarga	berjalannya	zaman	keluarga-keluarga	1
berjualan_sejak_zaman	berjualan	sejak	zaman	1
berkembang_mengikuti_zaman	berkembang	mengikuti	zaman	1
berkembang_zaman_jamu	berkembang	zaman	jamu	1
berkembangannya_zaman_jadi	berkembangannya	zaman	jadi	1
berkembangnya_zaman_model	berkembangnya	zaman	model	1
berkembangnya_zaman_tantangan	berkembangnya	zaman	tantangan	1
berkurang_tapi_zaman	berkurang	tapi	zaman	1
berlaku_di_zaman	berlaku	di	zaman	1
berlanjut_sampai_zaman	berlanjut	sampai	zaman	1
berlatar_belakang_zaman	berlatar	belakang	zaman	1
bernama_gerekan_zaman	bernama	gerekan	zaman	1
beroperasi_pada_zaman	beroperasi	pada	zaman	1
berpengaruh_di_zaman	berpengaruh	di	zaman	1
berpengaruh_pada_zaman	berpengaruh	pada	zaman	1
bertema_perjuangan_zaman	bertema	perjuangan	zaman	1
bertransformasi_menyesuaikan_zaman	bertransformasi	menyesuaikan	zaman	1
berubah_sesuai_zaman	berubah	sesuai	zaman	1
berupa_makam_zaman	berupa	makam	zaman	1
besar_daripada_zaman	besar	daripada	zaman	1
besar_di_zaman	besar	di	zaman	1
biksu_pada_zaman	biksu	pada	zaman	1
bila_mengingat_zaman	bila	mengingat	zaman	1
bisa_berkurang_zaman	bisa	berkurang	zaman	1
bocah_zaman_sekarang	bocah	zaman	sekarang	1
budaya_masyarakat_zaman	budaya	masyarakat	zaman	1
budaya_zaman_pra-Islam	budaya	zaman	pra-Islam	1
bukan_zaman_kita	bukan	zaman	kita	1
buktikan_bahwa_zaman	buktikan	bahwa	zaman	1
bumi_sejak_zaman	bumi	sejak	zaman	1
camat_kalau_zaman	camat	kalau	zaman	1
cerita_sejarah_zaman	cerita	sejarah	zaman	1
cerita_zaman_sekolah	cerita	zaman	sekolah	1
cinta_zaman_dulu	cinta	zaman	dulu	1
contoh_masyarakat_zaman	contoh	masyarakat	zaman	1
contohkan_ponsel_zaman	contohkan	ponsel	zaman	1
contohnya_dari_zaman	contohnya	dari	zaman	1
coto_pada_zaman	coto	pada	zaman	1
dalam_peperangan_zaman	dalam	peperangan	zaman	1
dalam_setiap_zaman	dalam	setiap	zaman	1
dalam_zaman_yang	dalam	zaman	yang	1
dalang_pada_zaman	dalang	pada	zaman	1
dan_di_zaman	dan	di	zaman	1
dan_dinamika_zaman	dan	dinamika	zaman	1
dan_mengarus_zaman	dan	mengarus	zaman	1
dan_nilai-nilai_zaman	dan	nilai-nilai	zaman	1
dan_pergumulan_zaman	dan	pergumulan	zaman	1
dan_perubahan_zaman	dan	perubahan	zaman	1
dan_riwayat_zaman	dan	riwayat	zaman	1
dan_sejak_zaman	dan	sejak	zaman	1
dan_tuntutan-tuntutan_zaman	dan	tuntutan-tuntutan	zaman	1
dan_zaman_kaligrafi	dan	zaman	kaligrafi	1
dan_zaman_tertentu	dan	zaman	tertentu	1
dan_zaman_yang	dan	zaman	yang	1
dangdut_zaman_sekarang	dangdut	zaman	sekarang	1
dari_berbagai_zaman	dari	berbagai	zaman	1
dari_pemuda_zaman	dari	pemuda	zaman	1
dari_perkemba-ngan_zaman	dari	perkemba-ngan	zaman	1
dari_perkembangan_zaman	dari	perkembangan	zaman	1
dari_zaman_baheula	dari	zaman	baheula	1
dari_zaman_keemasan	dari	zaman	keemasan	1
dari_zaman_kuno	dari	zaman	kuno	1
dari_zaman_maju	dari	zaman	maju	1
dari_zaman_orang	dari	zaman	orang	1
dari_zaman_pemerintahan	dari	zaman	pemerintahan	1
dari_zaman_pergerakan	dari	zaman	pergerakan	1
dari_zaman_se-karang	dari	zaman	se-karang	1
dari_zaman_tersebut	dari	zaman	tersebut	1
daripada_zaman_reformasi	daripada	zaman	reformasi	1
daripada_zaman_sekarang	daripada	zaman	sekarang	1
datangnya_zaman_penjajahan	datangnya	zaman	penjajahan	1
de-ngan_perkembangan_zaman	de-ngan	perkembangan	zaman	1
dekadensi_perubahan_zaman	dekadensi	perubahan	zaman	1
delapan_pada_zaman	delapan	pada	zaman	1
demikian_setiap_zaman	demikian	setiap	zaman	1
dengan_berkembang_zaman	dengan	berkembang	zaman	1
dengan_berkembangannya_zaman	dengan	berkembangannya	zaman	1
dengan_di_zaman	dengan	di	zaman	1
dengan_dinamika_zaman	dengan	dinamika	zaman	1
dengan_kemanjuan_zaman	dengan	kemanjuan	zaman	1
dengan_ketika_zaman	dengan	ketika	zaman	1
dengan_kondisi_zaman	dengan	kondisi	zaman	1
dengan_pergantian_zaman	dengan	pergantian	zaman	1
dengan_perkemba-ngan_zaman	dengan	perkemba-ngan	zaman	1
dengan_proses_zaman	dengan	proses	zaman	1
dengan_tanda-tanda_zaman	dengan	tanda-tanda	zaman	1
dengan_tantangan_zaman	dengan	tantangan	zaman	1
dengan_ulama_zaman	dengan	ulama	zaman	1
dengan_zaman_dulu	dengan	zaman	dulu	1
dengan_zaman_mereka	dengan	zaman	mereka	1
dengan_zaman_reaktor	dengan	zaman	reaktor	1
desa_zaman_dahulu	desa	zaman	dahulu	1
di_kala_zaman	di	kala	zaman	1
di_segala_zaman	di	segala	zaman	1
di_sepanjang_zaman	di	sepanjang	zaman	1
di_setiap_zaman	di	setiap	zaman	1
di_zaman_awal	di	zaman	awal	1
di_zaman_baru	di	zaman	baru	1
di_zaman_canggih	di	zaman	canggih	1
di_zaman_digital	di	zaman	digital	1
di_zaman_globalisasi	di	zaman	globalisasi	1
di_zaman_kebebasan	di	zaman	kebebasan	1
di_zaman_keemasan	di	zaman	keemasan	1
di_zaman_kekhalifahan	di	zaman	kekhalifahan	1
di_zaman_kekuasaan	di	zaman	kekuasaan	1
di_zaman_kepemimpinan	di	zaman	kepemimpinan	1
di_zaman_kesetaraan	di	zaman	kesetaraan	1
di_zaman_ketika	di	zaman	ketika	1
di_zaman_kolonial	di	zaman	kolonial	1
di_zaman_kompeni	di	zaman	kompeni	1
di_zaman_materialisme	di	zaman	materialisme	1
di_zaman_nabi	di	zaman	nabi	1
di_zaman_order	di	zaman	order	1
di_zaman_otonomisasi	di	zaman	otonomisasi	1
di_zaman_para	di	zaman	para	1
di_zaman_pemerintahan	di	zaman	pemerintahan	1
di_zaman_penja-jahan	di	zaman	penja-jahan	1
di_zaman_perang	di	zaman	perang	1
di_zaman_perjuangan	di	zaman	perjuangan	1
di_zaman_postmodern	di	zaman	postmodern	1
di_zaman_progresif	di	zaman	progresif	1
di_zaman_sahabat	di	zaman	sahabat	1
di_zaman_se-karang	di	zaman	se-karang	1
di_zaman_sebe-lum	di	zaman	sebe-lum	1
di_zaman_seka-rang	di	zaman	seka-rang	1
di_zaman_seperti	di	zaman	seperti	1
di_zaman_sosial	di	zaman	sosial	1
dia_pada_zaman	dia	pada	zaman	1
diam_tergusur_zaman	diam	tergusur	zaman	1
dianut_sejak_zaman	dianut	sejak	zaman	1
dibandingkan_anak-anak_zaman	dibandingkan	anak-anak	zaman	1
dibandingkan_saat_zaman	dibandingkan	saat	zaman	1
dibangun_sebelum_zaman	dibangun	sebelum	zaman	1
dibangun_sejak_zaman	dibangun	sejak	zaman	1
dibuktikan_sedjak_zaman	dibuktikan	sedjak	zaman	1
dicontohkan_pada_zaman	dicontohkan	pada	zaman	1
digunakan_sejak_zaman	digunakan	sejak	zaman	1
dikebiri_pada_zaman	dikebiri	pada	zaman	1
dikeluarkan_sejak_zaman	dikeluarkan	sejak	zaman	1
dikenal_dari_zaman	dikenal	dari	zaman	1
dikenal_sejak_zaman	dikenal	sejak	zaman	1
dikritik_sejak_zaman	dikritik	sejak	zaman	1
dilaksanakan_sejak_zaman	dilaksanakan	sejak	zaman	1
dilakuakn_mengingat_zaman	dilakuakn	mengingat	zaman	1
dilakukan_anak-anak_zaman	dilakukan	anak-anak	zaman	1
dilakukan_orang_zaman	dilakukan	orang	zaman	1
dilakukan_zaman_sekarang	dilakukan	zaman	sekarang	1
dilanjutkan_oleh_zaman	dilanjutkan	oleh	zaman	1
diluncurkan_setelah_zaman	diluncurkan	setelah	zaman	1
dilupakan_di_zaman	dilupakan	di	zaman	1
dimana_kemajuan_zaman	dimana	kemajuan	zaman	1
dimulai_pada_zaman	dimulai	pada	zaman	1
dinamika_perkembangan_zaman	dinamika	perkembangan	zaman	1
dinamika_zaman_saat	dinamika	zaman	saat	1
dinamika_zaman_yang	dinamika	zaman	yang	1
diperlukan_nabi-nabi_zaman	diperlukan	nabi-nabi	zaman	1
dipungkiri_di_zaman	dipungkiri	di	zaman	1
diresmikan_di_zaman	diresmikan	di	zaman	1
dirumuskan_pada_zaman	dirumuskan	pada	zaman	1
ditanam_sejak_zaman	ditanam	sejak	zaman	1
ditenggelamkan_zaman_sebagai	ditenggelamkan	zaman	sebagai	1
diterima_di_zaman	diterima	di	zaman	1
diterjemahkan_sesuai_zaman	diterjemahkan	sesuai	zaman	1
ditetapkan_sejak_zaman	ditetapkan	sejak	zaman	1
ditinggalkan_zaman_yang	ditinggalkan	zaman	yang	1
dokter_di_zaman	dokter	di	zaman	1
dugem_zaman_doeloe	dugem	zaman	doeloe	1
dulu_dari_zaman	dulu	dari	zaman	1
dulu_kan_zaman	dulu	kan	zaman	1
dulu_karena_zaman	dulu	karena	zaman	1
dulu_mungkin_zaman	dulu	mungkin	zaman	1
dulu_sejak_zaman	dulu	sejak	zaman	1
dulu_waktu_zaman	dulu	waktu	zaman	1
durhaka_terhadap_zaman	durhaka	terhadap	zaman	1
ekonomi_pada_zaman	ekonomi	pada	zaman	1
enak_di_zaman	enak	di	zaman	1
enak_zaman_saya	enak	zaman	saya	1
entah_zaman_apa	entah	zaman	apa	1
